,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
1,BBR/BBR001/,PASS,Sat 11/22/2014 20:54:10,Sat 11/22/2014 20:56:42,00:02:32,,
2,BBR/BBR002/,PASS,Sat 11/22/2014 20:56:49,Sat 11/22/2014 20:59:54,00:03:05,,
3,BBR/BBR003/,PASS,Sat 11/22/2014 21:00:12,Sat 11/22/2014 21:02:14,00:02:02,,
4,BBR/BBR004/,PASS,Sat 11/22/2014 21:02:21,Sat 11/22/2014 21:03:42,00:01:21,,
5,BBR/BBR005/,PASS,Sat 11/22/2014 21:03:49,Sat 11/22/2014 21:05:07,00:01:18,,
6,BBR/BBR006/,PASS,Sat 11/22/2014 21:05:13,Sat 11/22/2014 21:34:55,00:29:42,,
7,BBR/BBR007/,PASS,Sat 11/22/2014 21:35:01,Sat 11/22/2014 21:39:33,00:04:32,,
8,BBR/BBR009/,PASS,Sat 11/22/2014 21:39:40,Sat 11/22/2014 21:40:31,00:00:51,,
9,BBR/BBR010/,PASS,Sat 11/22/2014 21:40:38,Sat 11/22/2014 21:45:14,00:04:36,,
10,BBR/BBR012/,PASS,Sat 11/22/2014 21:45:20,Sat 11/22/2014 21:51:33,00:06:13,,
11,BBR/BBR013/,PASS,Sat 11/22/2014 21:51:39,Sat 11/22/2014 21:53:02,00:01:23,,
12,BBR/BBR014/,PASS,Sat 11/22/2014 21:53:09,Sat 11/22/2014 21:55:15,00:02:06,,
13,DBC/DBC001/,PASS,Sat 11/22/2014 18:20:09,Sat 11/22/2014 18:29:54,00:09:45,,
14,DBC/DBC002/,PASS,Sat 11/22/2014 18:29:54,Sat 11/22/2014 18:41:52,00:11:58,,
15,DBC/DBC003/,PASS,Sat 11/22/2014 18:41:52,Sat 11/22/2014 18:54:50,00:12:58,,
16,DBC/DBC004/,PASS,Sat 11/22/2014 18:54:50,Sat 11/22/2014 19:07:59,00:13:09,,
17,DBC/DBC005/,PASS,Sat 11/22/2014 19:07:59,Sat 11/22/2014 19:17:26,00:09:27,,
18,DBC/DBC007/,PASS,Sat 11/22/2014 19:17:26,Sat 11/22/2014 19:31:44,00:14:18,,
19,DBC/DBC008/,PASS,Sat 11/22/2014 19:31:44,Sat 11/22/2014 19:43:49,00:12:05,,
20,DBC/DBC009/,PASS,Sat 11/22/2014 19:43:49,Sat 11/22/2014 19:54:54,00:11:05,,
21,DBC/DBC010/,PASS,Sat 11/22/2014 19:54:54,Sat 11/22/2014 20:07:30,00:12:36,,
22,DBC/DBC011/,PASS,Sat 11/22/2014 20:07:30,Sat 11/22/2014 20:17:54,00:10:24,,
23,DBC/DBC012/,PASS,Sat 11/22/2014 20:17:54,Sat 11/22/2014 20:27:30,00:09:36,,
24,DBC/DBC013/,PASS,Sat 11/22/2014 20:27:31,Sat 11/22/2014 20:40:31,00:13:00,,
25,DBC/IP2_multiIPDBC_mstAllRand/,PASS,Mon 11/24/2014 16:38:03,Mon 11/24/2014 16:47:31,00:09:28,,
26,DBC/IP2_multiIPDBC_mstAplEqlThr/,PASS,Mon 11/24/2014 18:54:29,Mon 11/24/2014 19:03:47,00:09:18,,
27,DBC/IP2_multiIPDBC_mstAplGrtThr/,PASS,Mon 11/24/2014 19:03:47,Mon 11/24/2014 19:13:16,00:09:29,,
28,DBC/IP2_multiIPDBC_mstAplH2LThr/,PASS,Mon 11/24/2014 19:13:16,Mon 11/24/2014 19:22:48,00:09:32,,
29,DBC/IP2_multiIPDBC_mstAplHLHThr/,PASS,Mon 11/24/2014 19:22:48,Mon 11/24/2014 19:32:26,00:09:38,,
30,DBC/IP2_multiIPDBC_mstAplL2HThr/,PASS,Mon 11/24/2014 19:32:26,Mon 11/24/2014 19:42:06,00:09:40,,
31,DBC/IP2_multiIPDBC_mstAplLHLThr/,PASS,Mon 11/24/2014 19:42:06,Mon 11/24/2014 19:51:21,00:09:15,,
32,DBC/IP2_multiIPDBC_mstAplLsrThr/,PASS,Mon 11/24/2014 19:51:21,Mon 11/24/2014 20:01:40,00:10:19,,
33,DBC/IP2_multiIPDBC_mstBcastCRC/,PASS,Mon 11/24/2014 20:01:40,Mon 11/24/2014 20:11:21,00:09:41,,
34,DBC/IP2_multiIPDBC_mstCblRmv/,PASS,Mon 11/24/2014 20:11:21,Mon 11/24/2014 20:20:39,00:09:18,,
35,DBC/IP2_multiIPDBC_mstChkBcastGen/,PASS,Mon 11/24/2014 20:20:39,Mon 11/24/2014 20:30:42,00:10:03,,
36,DBC/IP2_multiIPDBC_mstIncompUcast/,PASS,Mon 11/24/2014 20:30:42,Mon 11/24/2014 20:39:50,00:09:08,,
37,DBC/IP2_multiIPDBC_mstMaxValChk/,PASS,Mon 11/24/2014 20:39:50,Mon 11/24/2014 20:49:34,00:09:44,,
38,DBC/IP2_multiIPDBC_mstMinValChk/,PASS,Mon 11/24/2014 20:49:34,Mon 11/24/2014 20:59:18,00:09:44,,
39,DBC/IP2_multiIPDBC_mstRandRoc/,PASS,Mon 11/24/2014 20:59:18,Mon 11/24/2014 21:08:49,00:09:31,,
40,DBC/IP2_multiIPDBC_mstUcastCRC/,PASS,Mon 11/24/2014 21:08:49,Mon 11/24/2014 21:17:58,00:09:09,,
41,DBC/IP2_multiIPDBC_tgtBcastCRC/,PASS,Mon 11/24/2014 21:17:58,Mon 11/24/2014 21:28:22,00:10:24,,
42,DBC/IP2_multiIPDBC_tgtIncompBcast/,PASS,Mon 11/24/2014 21:28:22,Mon 11/24/2014 21:38:47,00:10:25,,
43,DBC/IP2_multiIPDBC_tgtIncompUcast/,PASS,Mon 11/24/2014 21:38:47,Mon 11/24/2014 21:49:14,00:10:27,,
44,DBC/IP2_multiIPDBC_tgtMultipleBcast/,PASS,Mon 11/24/2014 21:49:14,Mon 11/24/2014 21:58:24,00:09:10,,
45,DBC/IP2_multiIPDBC_tgtMultipleUcast/,PASS,Mon 11/24/2014 21:58:24,Mon 11/24/2014 22:06:57,00:08:33,,
46,DBC/IP2_multiIPDBC_tgtNormal/,PASS,Mon 11/24/2014 22:06:57,Mon 11/24/2014 22:17:49,00:10:52,,
47,DBC/IP2_multiIPDBC_tgtUcastCRC/,PASS,Mon 11/24/2014 22:17:49,Mon 11/24/2014 22:28:16,00:10:27,,
48,DCM/DCM001/,PASS,Wed 11/26/2014 12:09:41,Wed 11/26/2014 12:10:03,00:00:22,,
49,DCM/DCM006/,PASS,Wed 11/26/2014 12:11:38,Wed 11/26/2014 12:12:00,00:00:22,,
50,DCM/DCM009/,PASS,Wed 11/26/2014 12:29:25,Wed 11/26/2014 12:29:51,00:00:26,,
51,DCM/DCM010/,FAIL,Wed 11/26/2014 12:34:05,Wed 11/26/2014 12:37:08,00:03:03,IPTWO-593,Providing option to come out of reset automatically once pll lock is lost due to an unstable Athena clock
52,DCM/DCM011/,PASS,Wed 11/26/2014 12:42:50,Wed 11/26/2014 12:43:09,00:00:19,,
53,DCM/DCM012/,PASS,Wed 11/26/2014 12:44:04,Wed 11/26/2014 12:44:28,00:00:24,,
